Category;FullScientificName;ScientificName;FrenchName;Rarete
A;Branta bernicla (Linnaeus, 1758);Branta bernicla;Bernache cravant;Commun
A;Branta ruficollis (Pallas, 1769);Branta ruficollis;Bernache à cou roux;Epique
A;Anser fabalis (Latham, 1787);Anser fabalis;Oie de taïga;Rare
A;Anser brachyrhynchus Baillon, 1834;Anser brachyrhynchus;Oie à bec court;Rare
A;Anser serrirostris Gould, 1852;Anser serrirostris;Oie de toundra;Rare
A;Anser albifrons (Scopoli, 1769);Anser albifrons;Oie rieuse;Commun
A;Anser erythropus (Linnaeus, 1758);Anser erythropus;Oie naine;Epique
A;Cygnus columbianus (Ord, 1815);Cygnus columbianus;Cygne de Bewick;Rare
A;Cygnus cygnus (Linnaeus, 1758);Cygnus cygnus;Cygne chanteur;Rare
A;Tadorna tadorna (Linnaeus, 1758);Tadorna tadorna;Tadorne de Belon;Commun
A;Sibirionetta formosa (Georgi, 1775);Sibirionetta formosa;Sarcelle élégante;Legendaire
A;Spatula querquedula (Linnaeus, 1758);Spatula querquedula;Sarcelle d'été;Commun
A;Spatula discors (Linnaeus, 1766);Spatula discors;Sarcelle à ailes bleues;Epique
A;Spatula clypeata (Linnaeus, 1758);Spatula clypeata;Canard souchet;Commun
A;Mareca strepera (Linnaeus, 1758);Mareca strepera;Canard chipeau;Commun
A;Mareca penelope (Linnaeus, 1758);Mareca penelope;Canard siffleur;Commun
A;Mareca americana (Gmelin, JF, 1789);Mareca americana;Canard à front blanc;Epique
A;Anas rubripes Brewster, 1902;Anas rubripes;Canard noir;Epique
A;Anas acuta Linnaeus, 1758;Anas acuta;Canard pilet;Commun
A;Anas crecca Linnaeus, 1758;Anas crecca;Sarcelle d'hiver;Commun
A;Anas carolinensis Gmelin, JF, 1789;Anas carolinensis;Sarcelle à ailes vertes;Epique
A;Marmaronetta angustirostris (Ménétries, 1832);Marmaronetta angustirostris;Sarcelle marbrée;Legendaire
A;Netta rufina (Pallas, 1773);Netta rufina;Nette rousse;Commun
A;Aythya ferina (Linnaeus, 1758);Aythya ferina;Fuligule milouin;Commun
A;Aythya nyroca (Güldenstädt, 1770);Aythya nyroca;Fuligule nyroca;Rare
A;Aythya collaris (Donovan, 1809);Aythya collaris;Fuligule à bec cerclé;Epique
A;Aythya fuligula (Linnaeus, 1758);Aythya fuligula;Fuligule morillon;Commun
A;Aythya marila (Linnaeus, 1761);Aythya marila;Fuligule milouinan;Rare
A;Aythya affinis (Eyton, 1838);Aythya affinis;Fuligule à tête noire;Epique
A;Polysticta stelleri (Pallas, 1769);Polysticta stelleri;Eider de Steller;Legendaire
A;Somateria spectabilis (Linnaeus, 1758);Somateria spectabilis;Eider à tête grise;Epique
A;Somateria mollissima (Linnaeus, 1758);Somateria mollissima;Eider à duvet;Commun
A;Melanitta perspicillata (Linnaeus, 1758);Melanitta perspicillata;Macreuse à front blanc;Epique
A;Melanitta fusca (Linnaeus, 1758);Melanitta fusca;Macreuse brune;Rare
A;Melanitta nigra (Linnaeus, 1758);Melanitta nigra;Macreuse noire;Commun
A;Melanitta americana (Swainson, 1832);Melanitta americana;Macreuse à bec jaune;Epique
A;Clangula hyemalis (Linnaeus, 1758);Clangula hyemalis;Harelde boréale;Rare
A;Bucephala albeola (Linnaeus, 1758);Bucephala albeola;Garrot albéole;Epique
A;Bucephala clangula (Linnaeus, 1758);Bucephala clangula;Garrot à œil d'or;Commun
A;Mergellus albellus (Linnaeus, 1758);Mergellus albellus;Harle piette;Rare
A;Mergus merganser Linnaeus, 1758;Mergus merganser;Harle bièvre;Rare
A;Mergus serrator Linnaeus, 1758;Mergus serrator;Harle huppé;Commun
A;Oxyura leucocephala (Scopoli, 1769);Oxyura leucocephala;Erismature à tête blanche;Legendaire
A;Tetrastes bonasia (Linnaeus, 1758);Tetrastes bonasia;Gélinotte des bois;Rare
